id,name,address,postcode,latitude,longitude,type,category,source_url
eco-vc-001,Entrepreneur First,Senna Building Gorsuch Place London,E2 8JF,51.5303,-0.0759,vc,vc,https://www.joinef.com/about/contact
eco-vc-002,Seedcamp,12 Little Portland Street London,W1W 8BJ,51.5194,-0.1414,vc,vc,https://seedcamp.com/contact/
eco-vc-003,Hoxton Ventures,55 New Oxford Street London,WC1A 1BS,51.5165,-0.1264,vc,vc,https://www.hoxtonventures.com/contact/
eco-vc-004,Index Ventures,5-8 Lower John Street London,W1F 9DY,51.513,-0.1376,vc,vc,https://www.indexventures.com/contact/
eco-vc-005,Atomico,29 Rathbone Street London,W1T 1NJ,51.5189,-0.1347,vc,vc,https://atomico.com/about/
eco-vc-006,EQT Partners,30 Broadwick Street 3rd Floor London,W1F 8JB,51.5136,-0.1357,vc,vc,https://eqtgroup.com/about/offices/london
tech-001,Monzo,Broadwalk House 5 Appold Street London,EC2A 2AG,51.5201,-0.0828,tech,fintech,https://monzo.com/legal/terms-and-conditions/
tech-002,Wise,Worship Square 65 Clifton Street London,EC2A 4JE,51.5235,-0.0842,tech,fintech,https://www.wise.com/gb/blog/wise-london-office-launch
tech-003,Snyk,Mainframe Building 24 Eversholt Street London,NW1 1AD,51.5291,-0.1338,tech,saas,https://snyk.io/about/
tech-004,Revolut,30 South Colonnade London,E14 5HX,51.5047,-0.0194,tech,fintech,https://opengovuk.com/company/08804411
tech-005,Starling Bank,5th Floor London Fruit and Wool Exchange 1 Duval Square London,E1 6PW,51.5157,-0.0642,tech,fintech,https://www.clay.com/dossier/starling-bank-headquarters-office-locations
tech-006,OakNorth,57 Broadwick Street London,W1F 9QS,51.5136,-0.1354,tech,fintech,https://salestools.io/en/report/oaknorth-headquarters
tech-007,SumUp,16-20 Shorts Gardens London,WC2H 9US,51.5151,-0.1256,tech,fintech,https://www.sumup.com/en-gb/disclaimer/
tech-008,Checkout.com,Wenlock Works Shepherdess Walk London,N1 7BQ,51.5294,-0.0945,tech,fintech,https://www.checkout.com/blog/checkout-com-moves-into-new-london-headquarters
tech-009,Blockchain.com,86-90 Paul Street London,EC2A 4NE,51.5251,-0.0845,tech,crypto,https://leadiq.com/c/blockchaincom/5a1d98952300005300874113
