id,name,category,address,postcode,city,country,website,source_url,notes,latitude,longitude,twitter
nata-001,Pastéis de Belém,legendary,Rua de Belém 84-92,1300-085,Lisbon,Portugal,https://pasteisdebelem.pt,https://oladaniela.com/best-pasteis-de-nata-lisbon/,"Original recipe since 1837, made by monks at Jerónimos Monastery. The most famous pastel de nata shop in Portugal.",38.6975182,-9.2032492,
nata-002,Manteigaria - Chiado,top,Rua do Loreto 2,1200-108,Lisbon,Portugal,https://manteigaria.com,https://manteigaria.com/en/as-nossas-fabricas/,"€1.50 per tart, exclusive focus on perfecting pastéis de nata. Art Nouveau façade from 1900. Open 8am-midnight.",38.7115856,-9.1426148,
nata-003,Manteigaria - Time Out Market,top,Av. 24 de Julho,1200-479,Lisbon,Portugal,https://manteigaria.com,https://manteigaria.com/en/as-nossas-fabricas/,Time Out Market location in Cais do Sodré. Same quality as Chiado location.,38.7053908,-9.1478538,
nata-004,Manteigaria - Rua Augusta,top,Rua Augusta,1100-053,Lisbon,Portugal,https://manteigaria.com,https://manteigaria.com/en/as-nossas-fabricas/,City center Baixa location on pedestrian shopping street. Convenient for tourists.,38.7115,-9.1367,
nata-005,Pastelaria Aloma - Campo de Ourique,award,Rua Francisco Metrass 67,1350-155,Lisbon,Portugal,http://pastelariaaloma.pt,https://www.weheartlisbon.com/en/food-drinks/pastelaria-aloma,"Four-time National Contest winner (2012, 2013, 2015, 2024). Open daily 8am-7pm.",38.7195263,-9.1656883,
nata-006,Confeitaria Nacional,historic,Praça da Figueira 18B,1100-241,Lisbon,Portugal,https://confeitarianacional.com,https://confeitarianacional.com/en/confeitaria-nacional-lisbon/,"Since 1829. Recipe nearly 200 years old from founder Balthazar Castanheiro. Near Rossio.",38.7138771,-9.1384629,
nata-007,Pastelaria Santo António - Alfama,award,Rua Milagre de Santo António 10,1100-351,Lisbon,Portugal,,https://www.eatingeurope.com/blog/pastelaria-santo-antonio-lisbon/,"Won 'Best Pastel de Nata in Lisbon' 2019. Near São Jorge Castle in beautiful tile-covered building.",38.712811,-9.131761,
nata-008,Pastelaria Santo António - Chiado,award,Rua Paiva de Andrada 8,1200-310,Lisbon,Portugal,,https://www.2foodtrippers.com/lisbon-pastel-de-nata-guide/,Second location opened 2025 in downtown Chiado. Award-winning quality.,38.7107,-9.1403,
nata-009,Aloma - Lisbon Airport,award,Terminal 1,1700-111,Lisbon,Portugal,http://pastelariaaloma.pt,https://www.2foodtrippers.com/lisbon-pastel-de-nata-guide/,Airport location in Terminal 1. Get your natas before you fly!,38.7755936,-9.1353667,
nata-010,Manteigaria - Belém,top,Belém,1400-038,Lisbon,Portugal,https://manteigaria.com,https://manteigaria.com/en/as-nossas-fabricas/,Belém location near Pastéis de Belém. Fresh natas all day.,38.6976,-9.2037,
nata-011,Nata de Lisboa,top,Rua Augusta 222,1100-042,Lisbon,Portugal,,https://www.2foodtrippers.com/lisbon-pastel-de-nata-guide/,"Smooth filling, perfect sweetness, crispy crust. Popular downtown location.",38.7108,-9.1371,
nata-012,Fábrica da Nata - Praça dos Restauradores,top,Praça dos Restauradores 62-68,1250-110,Lisbon,Portugal,https://fabricadanata.com,https://www.yelp.com/biz/fábrica-da-nata-lisboa,"Flagship location. Multiple shops across city. Fresh natas all day.",38.7156,-9.1426,
nata-013,Fábrica da Nata - Rua Augusta,top,Rua Augusta 275,1100-052,Lisbon,Portugal,https://fabricadanata.com,https://www.tripadvisor.com/Restaurant_Review-g189158-d12598938,"Downtown pedestrian street location. Great for tourists.",38.7108,-9.1373,
nata-014,Castro - Chiado,award,Rua da Misericórdia 69,1200-273,Lisbon,Portugal,,https://www.maperz.com/en/best-pasteis-de-nata-lisbon-authentic-bakeries/,"Opened 2017 by Chef André Castro. Chiado neighborhood. High quality artisan natas.",38.7106,-9.1430,
nata-015,Nat'elier,top,Rua de Santa Justa 87,1100-581,Lisbon,Portugal,https://www.nataworkshop.com,https://www.tripadvisor.com/AttractionProductReview-g189158-d15041107,"Run by chef João Batalha. Offers workshops. Downtown Lisbon.",38.7115,-9.1385,
nata-016,Vegan Nata Chiado,award,Rua da Misericórdia 9,1200-284,Lisbon,Portugal,,https://veggiesabroad.com/lisbon-vegan-bakery-guide/,"Plant-based pastel de nata. Chiado location. Vegan-friendly.",38.7109,-9.1429,
nata-017,Pastelaria Versailles,historic,Av. da República 15 A,1050-185,Lisbon,Portugal,https://www.confeitariaversailles.pt,https://www.portugalexposure.com/pastel-de-nata-lisbon/,"Since 1922. Belle Époque style interior. Traditional Portuguese café.",38.7364,-9.1460,
nata-018,Landeau Chocolate,award,Rua das Flores 70,1200-195,Lisbon,Portugal,https://www.landeau.pt,https://lisboavibes.com/best-pastel-de-nata-in-lisbon/,"Famous for chocolate cake but also serves excellent natas. Chiado.",38.7092,-9.1446,
nata-019,Padaria Ribeiro,historic,Calçada do Combro 57,1200-114,Lisbon,Portugal,,https://wonderfulwanderings.com/pasteis-de-nata-in-lisbon/,"Traditional neighborhood bakery. Local favorite since 1920s.",38.7081,-9.1468,
nata-020,Pastelaria Cristal,historic,Rua Tomás Ribeiro 99,1050-225,Lisbon,Portugal,,https://www.eatingeurope.com/blog/best-pastel-de-nata-in-lisbon/,"Family-run since 1940. Saldanha neighborhood. Authentic local spot.",38.7339,-9.1484,
nata-021,Briosa,top,Rua Garrett 134,1200-205,Lisbon,Portugal,https://www.briosa.pt,https://exploredbymarta.com/travel/portugal/where-to-get-the-best-pastel-de-nata-in-lisbon/,"Gourmet Portuguese pastries. Elegant Chiado location.",38.7102,-9.1414,
nata-022,A Padaria Portuguesa - Chiado,top,Rua do Loreto 27,1200-241,Lisbon,Portugal,https://apadariaportuguesa.pt,https://oladaniela.com/best-pasteis-de-nata-lisbon/,"Modern bakery chain. Fresh daily. Multiple locations.",38.7115,-9.1428,
nata-023,Casa Suíça,historic,Praça Dom Pedro IV 96-104,1100-200,Lisbon,Portugal,,https://www.portugal.com/food-drink/20-best-places-to-eat-pastel-de-nata-in-lisbon/,"Since 1922. Historic Rossio square location. Traditional café.",38.7139,-9.1387,
nata-024,Pastelaria Santo Amaro,top,Rua de São Paulo 247,1200-427,Lisbon,Portugal,,https://www.traveltalktours.com/where-to-find-the-best-pasteis-de-nata-in-lisbon-portugal/,"Family bakery. Cais do Sodré area. Local neighborhood gem.",38.7060,-9.1491,
nata-025,Fábrica da Nata - Colombo,top,Av. Lusíada,1500-392,Lisbon,Portugal,https://fabricadanata.com,https://www.yelp.com/biz/fábrica-da-nata-lisboa,"Colombo Shopping Centre location. Convenient for shoppers.",38.7564,-9.1879,
