id,name,address,postcode,latitude,longitude,office_type,desk_count,area_sqft,monthly_cost,cost_per_desk,cost_per_sqft,availability_date,lease_term,broker_name,source_url,notes
ldn-001,Silicon Roundabout Studios,120 Old Street London,EC1V 9BD,51.5258,-0.0879,serviced,6,650,3600,600,6.65,Now,12 months,Shoreditch Offices,https://example.com/listings/ldn-001,Natural light meeting room included
ldn-002,Curtain Road Collective,81 Curtain Road London,EC2A 3AG,51.5252,-0.0798,managed,14,1500,9800,700,7.84,Next 3 months,24 months,Founders Space London,https://example.com/listings/ldn-002,
ldn-003,Hoxton Yard Private,30 Great Eastern Street London,EC2A 3ES,51.5246,-0.0811,coworking,4,420,2400,600,6.86,Now,Flexible,Orbit Workspaces,https://example.com/listings/ldn-003,
ldn-004,Spitalfields Foundry,15 Folgate Street London,E1 6BX,51.5198,-0.0755,serviced,10,1100,6200,620,6.76,Next 3 months,12 months,East London Brokers,https://example.com/listings/ldn-004,
ldn-005,Aldgate East Labs,58 Commercial Road London,E1 1LP,51.5146,-0.0707,managed,18,2100,11200,622,6.40,Flexible,18 months,Canal & City Offices,https://example.com/listings/ldn-005,
ldn-006,Liverpool Street Annex,16 Devonshire Square London,EC2M 4SQ,51.5173,-0.0809,serviced,8,900,5400,675,7.20,Now,12 months,City Fringe Offices,https://example.com/listings/ldn-006,
ldn-007,Shoreditch High Street Hub,94 Shoreditch High Street London,E1 6JQ,51.5233,-0.0751,coworking,12,1200,7800,650,7.80,Flexible,Flexible,Orbit Workspaces,https://example.com/listings/ldn-007,
ldn-008,Hoxton Canal Works,5 Kingsland Road London,E2 8AA,51.5264,-0.0786,managed,22,2600,14800,673,6.83,Next 3 months,24 months,Founders Space London,https://example.com/listings/ldn-008,
ldn-009,Old Street Arcade,210 Old Street London,EC1V 9NR,51.5262,-0.0845,serviced,3,300,1700,567,6.80,Now,6 months,Shoreditch Offices,https://example.com/listings/ldn-009,
ldn-010,Bishopsgate Makerspace,155 Bishopsgate London,EC2M 3YD,51.5189,-0.0818,managed,16,1850,12600,788,8.17,Now,24 months,City Fringe Offices,https://example.com/listings/ldn-010,
ldn-011,Brick Lane Team Suite,43 Brick Lane London,E1 6QL,51.5218,-0.0714,serviced,9,980,5900,656,7.22,Next 3 months,12 months,East London Brokers,https://example.com/listings/ldn-011,
ldn-012,Whitechapel Scaleup Floor,72 Whitechapel High Street London,E1 7QX,51.5158,-0.0698,managed,28,3200,19600,700,7.35,Flexible,36 months,Canal & City Offices,https://example.com/listings/ldn-012,
ldn-013,Spitalfields Loft,11 Lamb Street London,E1 6EA,51.5206,-0.0749,coworking,5,480,2900,580,7.25,Now,Flexible,Orbit Workspaces,https://example.com/listings/ldn-013,
ldn-014,Tech City North Pod,2-4 Hoxton Square London,N1 6NU,51.5274,-0.0803,serviced,4,390,2100,525,6.46,Now,6 months,Shoreditch Offices,https://example.com/listings/ldn-014,
ldn-015,City Road Builder Suite,145 City Road London,EC1V 1LP,51.527,-0.0894,managed,20,2400,13900,695,6.95,Next 3 months,24 months,Founders Space London,https://example.com/listings/ldn-015,
ldn-016,Great Eastern Garage,71 Great Eastern Street London,EC2A 3HU,51.5248,-0.0831,coworking,7,760,4600,657,7.26,Flexible,Flexible,Orbit Workspaces,https://example.com/listings/ldn-016,
ldn-017,Aldgate Buildspace,1 Leman Street London,E1 8FA,51.5149,-0.0745,serviced,11,1250,7200,655,6.91,Now,12 months,East London Brokers,https://example.com/listings/ldn-017,
ldn-018,Commercial Street Collective,147 Commercial Street London,E1 6BJ,51.5201,-0.0731,managed,13,1450,9300,715,7.69,Next 3 months,18 months,Canal & City Offices,https://example.com/listings/ldn-018,
ldn-019,Minories Team Rooms,7 Minories London,EC3N 1BJ,51.5123,-0.0758,serviced,6,620,4100,683,7.94,Now,12 months,City Fringe Offices,https://example.com/listings/ldn-019,
ldn-020,Bethnal Green Annex,19 Redchurch Street London,E2 7DJ,51.523,-0.0772,coworking,15,1720,9600,640,6.70,Flexible,Flexible,Orbit Workspaces,https://example.com/listings/ldn-020,
ldn-021,Blossom Street Works,22 Blossom Street London,E1 6PL,51.5214,-0.0807,managed,24,2750,17100,713,7.46,Next 3 months,24 months,Founders Space London,https://example.com/listings/ldn-021,
ldn-022,Tabernacle Hub,34 Leonard Street London,EC2A 4LX,51.5242,-0.0825,serviced,10,1020,6500,650,7.65,Now,12 months,Shoreditch Offices,https://example.com/listings/ldn-022,
ldn-023,Worship Street Pods,31 Worship Street London,EC2A 2DX,51.5229,-0.0872,coworking,3,310,1650,550,6.39,Now,Flexible,Orbit Workspaces,https://example.com/listings/ldn-023,
